community,area_num,mean_radiance,sum_radiance,min_radiance,max_radiance,std_radiance,ACS Year,"Under $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $125,000","$125,000 +",Male 0 to 17,Male 18 to 24,Male 25 to 34,Male 35 to 49,Male 50 to 64,Male 65+,Female 0 to 17,Female 18 to 24,Female 25 to 34,Female 35 to 49,Female 50 to 64,Female 65 +,Total Population,White,Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Pacific Islander,Other Race,Multiracial,White Not Hispanic or Latino,Hispanic or Latino,Record ID,complaint_count
WOODLAWN,42.0,72.655365,2324.9717,38.91067,100.982254,18.013216,2023,1039,1223,622,917,807,2564,1958,1809,1861,2246,1019,2410,1801,1958,2533,2372,1905,24437,2807,18965,50,867,0,863,886,2438,783,2023_WOODLAWN,3704
SOUTH SHORE,43.0,69.98794,3289.433,53.649464,98.28775,10.849201,2023,2299,2082,1681,1798,1563,5258,1093,3630,3802,3698,2573,5188,1978,4501,4959,4833,4763,46276,1588,43339,12,160,27,453,698,1066,1463,2023_SOUTH SHORE,7190
CHATHAM,44.0,80.892044,4287.2783,52.760326,121.4123,18.412825,2023,1530,1427,940,1291,1356,3149,1317,2269,1889,3182,1955,2565,1774,2398,3096,3965,3881,31440,414,29714,69,111,0,276,855,336,783,2023_CHATHAM,6663
AVALON PARK,45.0,68.9102,1516.0244,50.45239,85.909706,9.599229,2023,420,489,356,518,630,1216,256,362,781,747,664,714,450,509,1087,965,1741,9492,27,8924,0,65,0,265,211,27,48,2023_AVALON PARK,2775
SOUTH CHICAGO,46.0,52.668438,2844.0957,9.911583,93.55751,19.452383,2023,1499,1522,968,1295,1055,3841,1196,1727,2485,2543,1661,3850,1407,2431,2537,2636,2759,29072,2813,21948,123,125,0,2986,1077,947,5604,2023_SOUTH CHICAGO,7316
BURNSIDE,47.0,58.07472,464.59775,52.02546,76.70231,7.8901286,2023,31,104,73,96,136,262,82,20,182,148,210,189,63,126,292,323,333,2229,40,2007,0,0,0,0,183,40,108,2023_BURNSIDE,582
CALUMET HEIGHTS,48.0,66.80113,1736.8295,57.4474,84.69983,7.075628,2023,353,308,431,906,903,930,221,783,661,1057,1133,1232,541,707,1056,1477,2279,12078,130,11470,19,17,0,158,284,28,498,2023_CALUMET HEIGHTS,4595
ROSELAND,49.0,70.077034,5536.086,49.13662,105.25703,12.484197,2023,1535,2186,1379,2244,1160,4122,1642,2695,2863,3657,2471,3871,1535,2622,3139,4872,4172,37660,668,35905,56,85,0,209,738,529,700,2023_ROSELAND,11858
PULLMAN,50.0,71.31944,2424.861,54.749493,88.677536,9.089236,2023,287,308,346,478,226,391,221,516,704,503,329,843,211,474,807,999,855,6851,1123,5293,0,5,0,244,186,848,559,2023_PULLMAN,1267
SOUTH DEERING,51.0,39.06989,6915.37,8.259095,88.56889,20.544395,2023,912,838,464,562,564,1458,496,1289,751,1288,1262,1885,1065,771,1855,1618,1363,15100,3107,9719,144,1,20,1407,702,682,4707,2023_SOUTH DEERING,4406
